OBJECTID	PDIV_ID	Af_used_2017	Af_used_irr_2017	Acres_2017	Af_used_mun_2017	Af_used_stk_2017	long_nad83	lat_nad83	county
9896	34266	56.91803923	56.91803923	134	0	0	-101.4049691	38.503068	WH
9897	35686	0	0	0	0	0	-100.7358257	37.26923604	SW
9898	67316	0	0	0	0	0	-100.6153694	37.68158187	GY
9899	35212	99.6105582	99.6105582	70	0	0	-101.9113935	38.64709287	GL
9900	63374	365.0241982	0	0	365.0241982	0	-101.3433227	37.18484957	SV
9901	1830	56.75017109	56.75017109	57	0	0	-98.89855791	39.48301648	OB
9902	63839	3.397872034	0	0	0	3.397872034	-100.3189519	37.75922179	GY
9903	12505	0	0	0	0	0	-98.17086367	37.63536865	KM
9904	27534	0	0	0	0	0	-99.95486427	37.74762115	FO
9905	63948	0	0	0	0	0	-100.1953578	37.73621137	FO
9906	24641	268	268	125	0	0	-100.7785145	37.90583272	FI
9907	49688	136	136	120	0	0	-100.5207302	39.4599042	SD
9908	77621	0	0	0	0	0	-99.98659833	38.23935765	HG
9909	2323	94	94	124	0	0	-100.2503807	37.37982376	ME
9910	71761	0.057388193	0	0	0	0.057388193	-100.88294	38.05435399	FI
9911	23924	112	112	118	0	0	-100.9050025	39.86977273	RA
9912	53538	0	0	0	0	0	-100.3459498	37.78830027	GY
9913	22280	32.3846482	32.3846482	35	0	0	-99.88528621	38.07580817	HG
9914	12720	93.46879402	0	0	93.46879402	0	-97.72481397	38.23209923	MP
9915	75248	172	172	125	0	0	-100.939504	37.79127372	FI
9916	65384	0	0	0	0	0	-100.113672	38.94731333	TR
9917	34721	137	137	130	0	0	-99.71899068	37.70156667	FO
9918	6544	71.10857416	71.10857416	105	0	0	-100.839229	38.18901279	FI
9919	65525	63	63	120	0	0	-100.5708257	37.72902347	GY
9920	15109	107	107	480	0	0	-101.5090278	37.64479741	GT
9921	28580	0	0	0	0	0	-97.76269857	38.69892575	SA
9922	36174	0	0	0	0	0	-101.6588711	39.92710634	CN
9923	23630	0	0	0	0	0	-101.1843688	37.94919388	KE
9924	17491	49.22832829	49.22832829	50	0	0	-97.66068348	39.06146642	OT
9925	13683	0	0	0	0	0	-99.73701662	39.05999645	TR
9926	33376	13.72191585	13.72191585	56	0	0	-101.5503239	38.54214579	WH
9927	17859	0	0	0	0	0	-101.1402199	37.29654709	SV
9928	24452	49.98879856	0	0	0	49.98879856	-100.4194097	37.83287857	GY
9929	31467	216.0947795	0	0	0	0	-97.95573006	38.04134248	RN
9930	30939	0	0	0	0	0	-101.010729	38.59761152	SC
9931	32269	55.23997164	55.23997164	130	0	0	-100.4202597	37.71172744	GY
9932	17717	53.83933147	53.83933147	100	0	0	-97.39029933	37.87684188	SG
9933	7216	180	180	126	0	0	-99.1533881	38.09076049	PN
9934	31109	0	0	0	0	0	-101.2796595	37.95703526	KE
9935	32541	56.44420303	56.44420303	60	0	0	-98.70489631	37.72229946	PR
9936	4659	249.00031	249.00031	150	0	0	-100.4448899	37.79915695	GY
9937	70103	0	0	0	0	0	-99.71493012	39.97966735	NT
9938	66170	12.67174261	12.67174261	49	0	0	-97.25247726	39.5354176	CY
9939	77642	196	196	130	0	0	-100.8219299	37.74755392	FI
9940	40249	11.78913061	0	0	11.78913061	0	-99.89479258	38.42181292	NS
9941	14147	7.807433459	0	0	0	0	-97.31017238	37.63739538	SG
9942	14027	42	42	160	0	0	-101.6099402	37.29419315	MT
9943	14429	104	104	121	0	0	-101.603186	39.80371451	CN
9944	52432	0	0	0	0	0	-101.262639	37.82767467	KE
9945	18307	23	23	30	0	0	-100.9972029	39.66397226	RA
9946	72035	0	0	0	0	0	-99.0571259	39.84507009	SM
9947	10846	60	60	60	0	0	-100.6560724	37.87714231	GY
9948	23313	44.04467072	0	0	0	44.04467072	-100.439658	37.83788582	GY
9949	67783	54.8925736	54.8925736	43	0	0	-97.75599035	39.68995552	RP
9950	27690	0	0	0	0	0	-101.8916428	38.66856251	GL
9951	15011	271	271	140	0	0	-100.324323	37.33274384	ME
9952	3956	31	31	44	0	0	-97.29375333	37.53726301	SG
9953	44250	0	0	0	0	0	-101.1440476	37.63355916	GT
9954	37273	0	0	0	0	0	-96.55891212	39.1748352	RL
9955	22594	113	113	115	0	0	-98.57841547	37.74365036	PR
9956	39848	187	187	120	0	0	-101.636597	39.77307416	CN
9957	72019	0	0	0	0	0	-101.6404972	39.7849741	CN
9958	13612	0	0	0	0	0	-95.75729156	39.07627984	SN
9959	29107	0	0	0	0	0	-101.8105532	39.85065258	CN
9960	25138	0	0	0	0	0	-99.13725947	37.88705282	ED
9961	21735	137.25	137.25	130	0	0	-98.91261977	38.33394289	BT
9962	77990	0	0	0	0	0	-96.63856212	39.67583996	MS
9963	61977	0	0	0	0	0	-97.2202833	39.49681049	CY
9964	63239	0	0	0	0	0	-97.14598756	37.29991981	CL
9965	23797	0	0	0	0	0	-101.6999412	37.5292353	ST
9966	28562	0	0	0	0	0	-100.897151	37.96699217	FI
9967	30651	0	0	0	0	0	-99.85929023	38.99952751	TR
9968	71641	146	146	243	0	0	-100.9715214	38.06885367	FI
9969	5325	0	0	0	0	0	-96.45813818	39.23187658	PT
9970	33673	192	192	126	0	0	-100.4214657	37.23814354	ME
9971	21261	134	134	125	0	0	-99.45574559	37.83977736	ED
9972	70452	3.298869729	0	0	0	0	-97.28008183	38.7607719	DK
9973	5309	338	338	460	0	0	-101.4245806	36.9996082	SV
9974	63081	192	192	180	0	0	-100.8379491	38.06210995	FI
9975	48051	7.777481119	0	0	0	0	-98.13827514	38.37106007	RC
9976	12253	21.94592007	21.94592007	85	0	0	-99.78666942	38.41721557	NS
9977	76383	85	85	179	0	0	-101.4046792	38.50658793	WH
9978	8365	0	0	0	0	0	-101.5847349	38.51057615	GL
9979	27218	0	0	0	0	0	-97.42380498	37.5786525	SG
9980	45654	33	33	93	0	0	-98.79659716	37.84624224	SF
9981	32015	0	0	0	0	0	-100.7896493	37.77968074	FI
9982	50415	0	0	0	0	0	-98.70948821	39.44107752	OB
9983	61772	0	0	0	0	0	-97.32463252	37.4052905	SU
9984	55036	0	0	0	0	0	-96.89066338	39.13893595	GE
9985	160	30.75270599	30.75270599	123	0	0	-100.6129724	39.43698441	SD
9986	41204	181	181	120	0	0	-101.8325935	39.34718919	SH
9987	13623	38.74654367	0	0	0	38.74654367	-100.8865522	38.36808162	SC
9988	69743	2.143617789	2.143617789	6	0	0	-101.0411747	39.81779133	RA
9989	76255	20	20	19	0	0	-101.3678984	38.55618732	WH
9990	32118	128	128	125	0	0	-101.1449652	37.88329425	KE
9991	60096	0.245142719	0	0	0	0.245142719	-99.69245061	38.12027728	HG
9992	1651	178	178	156	0	0	-98.83612137	37.79938701	PR
9993	5752	0	0	0	0	0	-101.0892605	37.97051339	FI
9994	68722	80.0077336	80.0077336	95	0	0	-97.57811983	38.13364016	HV
9995	20364	143	143	123	0	0	-100.5095444	37.47841765	GY
9996	9917	0	0	0	0	0	-101.8215414	37.13527768	MT
9997	73527	0.4112309	0	0	0	0	-94.77508909	39.06293458	WY
9998	45157	0	0	0	0	0	-94.97838539	38.99490386	LV
9999	25295	0	0	0	0	0	-95.46325259	39.2350984	JF
10000	19577	0	0	0	0	0	-100.8968041	38.44398857	SC
10001	26982	196	196	124	0	0	-101.5602613	37.36283229	MT
10002	10754	40	40	31	0	0	-101.9375682	39.75416311	CN
10003	61653	0	0	0	0	0	-97.94662722	39.39323909	MC
10004	52280	109.1787351	109.1787351	160	0	0	-101.8160238	38.77005982	WA
10005	41019	0	0	0	0	0	-98.16732424	39.4770691	MC
10006	28380	64	64	88	0	0	-101.2730674	37.95852838	KE
10007	49857	0	0	0	0	0	-99.49697299	38.48480612	RH
