AGRI_KS,ET_KS,GRACE_Trend_KS,P_KS,SW_KS,URBAN_FLT_KS
0.2986383,2014.0,-284.3849,353.18,0.0,0.060972877
0.50303847,2350.0,-388.67932,365.37,0.4756386,0.175036
0.5840593,3839.0,-186.82289,482.6,0.39671773,0.07649558
0.59861887,2606.0,-387.64905,441.32,0.010197166,0.20217344
0.6654664,3479.0,-375.15216,593.131,0.083403945,0.30309945
0.23028183,3313.0,-387.12906,711.708,0.007973835,0.03193202
0.77120584,1898.0,-136.57623,422.46,0.0,0.07367798
0.4346401,1079.0,-335.27618,302.98,0.0,0.04654898
0.63534236,1955.0,-250.47935,358.8,0.07045725,0.029568216
0.38721898,3268.0,-395.39246,470.992,0.06323589,0.040221967
0.6233112,2467.0,-121.88341,529.17,0.57293916,0.35049793
0.493956,2258.0,-351.66302,448.34,0.4565067,0.22053659
0.68611616,2641.0,-387.64905,543.81,0.36501566,0.09146284
0.8660277,2704.0,-110.0946,536.27,0.30011553,0.10332873
0.29839334,1987.0,-315.9807,422.1,0.0,0.123176925
0.6202415,1653.0,-239.33809,291.53,0.00039123927,0.035638597
0.44116756,2622.0,-122.063446,468.84,0.039454486,0.11784684
0.43600035,1423.0,-453.73685,273.74,0.48524883,0.12212759
0.32306564,2194.0,-184.42087,434.87,0.0,0.14807288
0.6269192,2730.0,-361.9958,766.215,0.3053618,0.43049854
0.8069027,565.0,-312.72247,167.18,0.18256806,0.090041585
0.4394562,2754.0,-219.03236,331.76,0.026014514,0.038497113
0.63431495,2650.0,-196.78854,603.19,0.3057952,0.4516199
0.6074511,777.0,-375.17303,267.36002,0.3086418,0.1375447
0.44663548,1912.0,-226.0185,401.06,0.015864788,0.04236795
0.6101893,1876.0,-320.76462,369.59,0.3665386,0.06975492
