ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
196.1,0.0,0.092778176,1.0,0.0,0.7192967,318.11,0.27492774,196.1,1.0,2012
172.2,0.0,0.08492589,1.0,0.0,0.67459995,328.0,0.22864962,172.2,1.0,2012
265.8,0.0,0.07401457,1.0,0.0,0.6110531,328.08002,0.18428363,265.8,1.0,2012
277.6,0.0,0.06312882,1.0,0.0,0.53195304,328.7,0.14373653,277.6,1.0,2012
106.3,0.0,0.023416117,1.0,5.739423,0.45389184,229.61,0.00044845897,106.3,1.0,2012
106.9,0.0,0.031252142,1.0,44.10035,0.4774925,214.63,0.0008544766,106.9,1.0,2012
92.9,0.0,0.039636914,1.0,87.62615,0.48550174,195.58,0.0015719221,92.9,1.0,2012
100.0,0.0,0.04609109,1.0,59.452244,0.4791125,195.64,0.0027930515,100.0,1.0,2012
122.1,0.0,0.048507154,1.0,23.868711,0.46271133,199.34,0.0047951546,122.1,1.0,2012
120.6,0.0,0.04617375,1.0,81.317635,0.4420152,202.37,0.008036499,120.6,1.0,2012
94.7,0.0,0.040254485,1.0,19.474792,0.4220387,212.5,0.0129393,94.7,1.0,2012
140.2,0.0,0.03347875,1.0,47.766747,0.40583196,223.62,0.02017026,140.2,1.0,2012
174.2,0.0,0.029300313,1.0,31.420576,0.3945362,218.08,0.030456686,174.2,1.0,2012
122.6,0.0,0.03087837,1.0,121.84751,0.38829553,212.43,0.044568952,122.6,1.0,2012
121.6,0.0,0.040221967,1.0,31.08838,0.38721898,193.59999,0.06323589,121.6,1.0,2012
117.0,0.0,0.057569347,1.0,24.893955,0.39162388,225.67,0.08703109,117.0,1.0,2012
125.7,0.0,0.08103813,1.0,49.066044,0.40157658,208.09999,0.11633466,125.7,1.0,2012
140.3,0.0,0.10674397,1.0,17.316378,0.41618112,201.37,0.15094014,140.3,1.0,2012
136.6,0.0,0.12972471,1.0,21.289824,0.43325877,199.53,0.19029236,136.6,1.0,2012
110.1,0.0,0.14548543,1.0,21.04455,0.44964713,199.11,0.23326737,110.1,1.0,2012
115.1,0.0,0.15159993,1.0,12.309903,0.46190333,199.88,0.27824688,115.1,1.0,2012
95.4,0.0,0.14869334,1.0,0.0,0.46721786,246.39,0.32325807,95.4,1.0,2012
101.7,0.0,0.1403257,1.0,0.0,0.464329,259.43,0.36626303,101.7,1.0,2012
125.7,0.0,0.1319091,1.0,0.0,0.45428786,271.94,0.40514535,125.7,1.0,2012
113.0,0.0,0.12901287,1.0,0.0,0.44064352,303.99,0.43830353,113.0,1.0,2012
158.9,0.0,0.1354431,1.0,0.0,0.42865825,295.83,0.46468636,158.9,1.0,2012
133.8,0.0,0.15167713,1.0,0.0,0.4232955,238.78,0.48397726,133.8,1.0,2012
151.1,0.0,0.17429402,1.0,0.0,0.42699814,221.65,0.49662617,151.1,1.0,2012
