OBJECTID	PDIV_ID	Af_used_2012	Af_used_irr_2012	Acres_2012	Af_used_mun_2012	Af_used_stk_2012	long_nad83	lat_nad83	county						
284	45844	99.68666661	99.68666661	117	0	0	-99.54157595	37.89084809	ED						
285	23778	43.06385434	0	0	43.06385434	0	-99.93023963	37.73605013	FO						
286	13656	0.884889106	0	0	0	0	-100.2342535	39.36888398	SD						
287	3221	57.90990361	57.90990361	53	0	0	-100.9955761	38.32082231	SC						
288	35683	0	0	0	0	0	-101.1439103	37.58998876	GT						
289	15475	181.6305612	181.6305612	0	0	0	-96.97824045	38.97088915	DK						
290	10412	0	0	0	0	0	-95.95096645	39.14335147	SN						
291	7164	139	139	130	0	0	-99.09047872	37.65515178	KW						
292	40993	101	101	72	0	0	-100.1317906	37.76923736	FO						
293	17400	167.0088476	0	0	167.0088476	0	-101.3569026	37.18470264	SV						
294	52768	0	0	0	0	0	-100.8472407	37.95324693	FI						
295	51989	280	280	250	0	0	-100.5536534	37.21486654	ME						
296	20154	0	0	0	0	0	-101.2488671	37.97996993	KE						
297	2641	403	403	126	0	0	-101.5656144	37.34869916	MT						
298	28668	363	363	320	0	0	-100.7255146	37.34025448	SW						
299	31615	71	71	74	0	0	-97.8150236	39.91454432	RP						
300	911	0	0	0	0	0	-100.6627721	37.23483087	SW						
301	27606	15.69735861	0	0	15.69735861	0	-97.84529487	39.36124026	CD						
302	41982	0	0	0	0	0	-98.22702513	37.64436676	KM						
303	24467	0	0	0	0	0	-98.22482506	37.64040476	KM						
304	36977	314.5096992	314.5096992	221	0	0	-97.58609402	37.81959158	SG						
305	37114	0	0	0	0	0	-101.5857795	37.69335519	ST						
306	46690	276	276	160	0	0	-100.5656299	37.18340293	ME						
307	54594	140.309528	140.309528	130	0	0	-98.83527285	37.76638685	PR						
308	54368	4	4	4	0	0	-101.8999232	37.23959393	MT						
309	12553	0	0	0	0	0	-100.8062868	37.39453854	HS						
310	26818	366.6000718	366.6000718	315	0	0	-100.8161383	37.39687303	HS						
311	53902	316	316	118	0	0	-101.9147552	39.2346813	SH						
312	53723	0	0	0	0	0	-100.8606502	38.07273152	FI						
313	47755	282	282	160	0	0	-101.194068	37.1548948	SV						
314	52330	0	0	0	0	0	-101.293773	38.65789557	WH						
315	36062	22.35475724	22.35475724	18	0	0	-101.2752757	38.66995196	WH						
316	17453	377	377	240	0	0	-101.0768724	37.16450952	SV						
317	41678	274	274	100	0	0	-100.9588328	37.36313405	SW						
318	8486	0	0	0	0	0	-101.2103265	38.64291534	WH						
319	35155	0	0	0	0	0	-101.1666659	38.04286255	KE						
320	6516	0	0	0	0	0	-99.32124359	38.71577155	EL						
321	54	197	197	150	0	0	-101.6008862	37.00994754	MT						
322	34414	0	0	0	0	0	-101.6168921	37.00140223	MT						
323	17197	0.068488358	0	0	0.068488358	0	-100.4835352	38.95552977	GO						
324	27470	410	410	223	0	0	-101.047684	38.03286343	FI						
325	31130	344	344	240	0	0	-100.9382886	38.05310241	FI						
326	25086	52.25425118	52.25425118	125	0	0	-101.6531652	37.66930053	ST						
327	47180	0	0	0	0	0	-101.662326	37.64755094	ST						
328	6717	0	0	0	0	0	-101.3945976	37.63050941	GT						
329	37621	0	0	0	0	0	-95.07702651	38.54851348	FR						
330	45892	0	0	0	0	0	-100.5509528	37.49023483	GY						
331	45780	0	0	0	0	0	-101.4517979	37.43256307	GT						
332	34646	86	86	250	0	0	-101.4573047	37.4424726	GT						
333	15535	0	0	0	0	0	-100.8658632	37.98101598	FI						
334	33965	278.5260748	278.5260748	500	0	0	-100.3005798	37.9135725	GY						
335	48457	179.7140411	179.7140411	140	0	0	-97.66582705	38.2429461	MP						
336	6219	0	0	0	0	0	-100.8792309	37.96463817	FI						
337	35721	0.162651028	0	0	0.162651028	0	-100.8587131	37.96743397	FI						
338	33269	0	0	0	0	0	-99.49218068	37.84378959	ED						
339	22457	55.71871806	0	0	55.71871806	0	-100.1919729	37.38682963	ME						
340	981	479.0533096	0	0	479.0533096	0	-100.8869702	37.96693423	FI						
341	43483	135.7654265	135.7654265	122	0	0	-100.1473271	37.76544995	FO						
342	23240	175.4151437	175.4151437	186	0	0	-97.60798989	39.99782754	RP						
343	13527	0	0	0	0	0	-94.97284013	38.98286513	JO						
344	32306	250	250	72	0	0	-101.6943395	39.3527098	SH						
345	43061	146.5488828	146.5488828	128	0	0	-97.49812415	39.58734884	CD						
346	48680	169	169	130	0	0	-97.56942147	37.93777155	HV						
347	13725	258.5199984	258.5199984	162	0	0	-98.85645366	38.38619348	BT						
348	39865	0	0	0	0	0	-100.9785581	37.49329872	HS						
349	46403	94	94	77	0	0	-100.5904742	39.7571929	DC						
350	34617	0	0	0	0	0	-101.1583733	37.9753695	KE						
351	20167	0	0	0	0	0	-99.56903905	39.23556624	RO						
352	7040	36	36	35	0	0	-100.6752834	39.26615604	SD						
353	8371	0	0	0	0	0	-100.309665	37.92110147	GY						
354	932	73	73	125	0	0	-100.6384013	37.75455187	GY						
355	53680	67.77330743	0	0	67.77330743	0	-94.69853784	37.0741026	CK						
356	30547	422	422	197	0	0	-101.091622	37.3789102	SV						
357	50968	498	498	604	0	0	-100.6344454	37.37332555	SW						
358	47553	140	140	138	0	0	-100.8802741	37.70668857	HS						
359	22183	171	171	123	0	0	-99.12456964	38.2648031	PN						
360	27803	0	0	0	0	0	-97.63306213	37.93420245	HV						
361	18673	0	0	0	0	0	-101.4915085	38.62089075	WH						
362	27262	477	477	280	0	0	-100.8686029	37.67942301	HS						
363	17969	0	0	0	0	0	-101.475326	38.61827794	WH						
364	37239	0	0	0	0	0	-100.8347925	37.62761024	HS						
365	42123	47.99647692	47.99647692	88	0	0	-99.61578792	38.18299626	HG						
366	14796	312	312	240	0	0	-100.9854919	38.07244379	FI						
367	36478	0	0	0	0	0	-101.8185813	37.63623607	ST						
368	295	0.001534444	0	0	0.001534444	0	-97.78726927	37.62557474	SG						
369	11837	0	0	0	0	0	-97.77637897	37.62300479	SG						
370	5489	0	0	0	0	0	-97.77827901	37.62599471	SG						
371	23491	12.27554925	0	0	12.27554925	0	-96.88588323	38.09228785	MN						
372	31313	0	0	0	0	0	-98.64581413	37.28857296	BA						
373	42658	9.063038014	0	0	0	9.063038014	-100.9667232	38.26042646	FI						
374	48489	138.4166667	138.4166667	122	0	0	-98.82971563	38.37444244	BT						
375	31679	0	0	0	0	0	-100.9051718	38.03581616	FI						
376	53040	78	78	240	0	0	-100.929069	38.10272306	FI						
377	23618	661	661	480	0	0	-101.5617251	37.46786076	ST						
378	40214	154	154	138	0	0	-100.8960134	37.5555865	HS						
379	51618	0	0	0	0	0	-101.7553573	37.20754782	MT						
380	23300	221	221	125	0	0	-101.3793945	37.08654288	SV						
381	49272	194	194	137	0	0	-97.5142438	37.90509469	SG						
382	39095	0	0	686	0	0	-101.9152888	37.32893073	MT						
383	16452	6.415508929	0	0	6.415508929	0	-97.58861516	39.02792496	OT						
384	42386	0	0	0	0	0	-100.9952861	37.27884027	SW						
385	17584	93	93	120	0	0	-102.0487003	39.37478765	SH						
386	42138	217	217	121	0	0	-100.9574078	38.18839286	FI						
387	11030	0	0	0	0	0	-100.9605517	38.19694884	FI						
388	33532	0	0	0	0	0	-101.0443978	38.61162021	SC						
389	8116	0	0	0	0	0	-97.43241556	39.70528682	RP						
390	38804	183.1666667	183.1666667	130	0	0	-98.93714556	37.64811202	PR						
391	5516	187.8333333	187.8333333	130	0	0	-98.96461074	37.66626177	PR						
392	24864	287	287	240	0	0	-101.0197222	38.08766359	FI						
393	22614	101	101	250	0	0	-101.5785382	37.634827	ST						
394	3879	0	0	0	0	0	-101.6172285	37.63149673	ST						
395	16780	0	0	0	0	0	-96.77499785	37.40872167	CL						
